#x_m,y_m,w_tr_right_m,w_tr_left_m
8.68398571,53.25294876,5,5
8.68398571,53.25294876,5,5
8.68398571,53.25294876,5,5
8.68398571,53.25294876,5,5
8.68398571,53.25294876,5,5
8.683984756,53.25257111,5,5
8.683982849,53.25212097,5,5
8.683981895,53.25187302,5,5
8.683981895,53.25174332,5,5
8.683981895,53.25167847,5,5
8.683982849,53.25166702,5,5
8.683983803,53.25167847,5,5
8.683983803,53.25170135,5,5
8.683984756,53.25173187,5,5
8.68398571,53.2517662,5,5
8.68398571,53.25179672,5,5
8.68398571,53.25181961,5,5
8.68398571,53.25183868,5,5
8.68398571,53.25185394,5,5
8.68398571,53.25186539,5,5
8.68398571,53.25187302,5,5
8.68398571,53.25188828,5,5
8.68398571,53.25190353,5,5
8.68398571,53.25191116,5,5
8.68398571,53.25191879,5,5
8.68398571,53.25192261,5,5
8.68398571,53.25192642,5,5
8.683984756,53.25192642,5,5
8.683984756,53.25192642,5,5
8.68398571,53.25193405,5,5
8.68398571,53.25193405,5,5
8.68398571,53.25193405,5,5
8.68398571,53.25193405,5,5
8.68398571,53.25193405,5,5
8.68398571,53.25193405,5,5
8.68398571,53.25193405,5,5
8.68398571,53.25193405,5,5
8.68398571,53.25193405,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.68398571,53.25193787,5,5
8.683916092,53.23910141,5,5
8.683675766,53.1942482,5,5
8.683328629,53.12705994,5,5
8.682906151,53.04407501,5,5
8.682425499,52.94932556,5,5
8.681901932,52.8452034,5,5
8.681341171,52.73313904,5,5
8.680744171,52.61393356,5,5
8.680116653,52.48803711,5,5
8.679458618,52.35568237,5,5
8.678769112,52.21699524,5,5
8.678050041,52.07200241,5,5
8.677302361,51.92069244,5,5
8.676523209,51.76301575,5,5
8.675714493,51.59889984,5,5
8.674875259,51.4282608,5,5
8.674004555,51.25100327,5,5
8.673103333,51.0670166,5,5
8.672170639,50.87617874,5,5
8.671205521,50.67837906,5,5
8.670208931,50.47349167,5,5
8.669178963,50.26137161,5,5
8.668114662,50.04188538,5,5
8.66701889,49.814888,5,5
8.665888786,49.58021927,5,5
8.66472435,49.33773422,5,5
8.663523674,49.08726501,5,5
8.662289619,48.82865143,5,5
8.661020279,48.56174088,5,5
8.659713745,48.28636551,5,5
8.658372879,48.00238037,5,5
8.65699482,47.70965195,5,5
8.655581474,47.40805054,5,5
8.654130936,47.0974617,5,5
8.652647018,46.77776718,5,5
8.651124954,46.44884491,5,5
8.649568558,46.11058044,5,5
8.647976875,45.76285553,5,5
8.646348953,45.40555191,5,5
8.644686699,45.03855515,5,5
8.642989159,44.66174698,5,5
8.641257286,44.27505112,5,5
8.639492989,43.8784256,5,5
8.637695313,43.4718399,5,5
8.635866165,43.05529785,5,5
8.6340065,42.62880707,5,5
8.640687943,42.19327545,5,5
8.645410538,41.74834442,5,5
8.647593498,41.2934227,5,5
8.650065422,40.82857513,5,5
8.65309906,40.35387039,5,5
8.656560898,39.86936569,5,5
8.660316467,39.37511444,5,5
8.664283752,38.87117386,5,5
8.668412209,38.35760498,5,5
8.663784981,37.83538055,5,5
8.660460472,37.30418015,5,5
8.659739494,36.76338959,5,5
8.658748627,36.2130928,5,5
8.657073021,35.65336609,5,5
8.65482235,35.08428574,5,5
8.652166367,34.50591278,5,5
8.649232864,33.91831207,5,5
8.655205727,33.32247162,5,5
8.660374641,32.71807098,5,5
8.663067818,32.10451508,5,5
8.666151047,31.48188591,5,5
8.670148849,30.85025978,5,5
8.674985886,30.20970917,5,5
8.680484772,29.5602932,5,5
8.686490059,28.90207291,5,5
8.692883492,28.23510361,5,5
8.699586868,27.55944443,5,5
8.706540108,26.87515259,5,5
8.713706017,26.18228531,5,5
8.721057892,25.48088837,5,5
8.728573799,24.7710228,5,5
8.72695446,24.05365944,5,5
8.72538662,23.32849312,5,5
8.726073265,22.59490204,5,5
8.726243973,21.85296059,5,5
8.725264549,21.10274315,5,5
8.723168373,20.34431458,5,5
8.720151901,19.5777359,5,5
8.716420174,18.80306435,5,5
8.712142944,18.0203495,5,5
8.707452774,17.22964478,5,5
8.70245266,16.43100548,5,5
8.697216988,15.62447739,5,5
8.69180584,14.81011486,5,5
8.686261177,13.98796368,5,5
8.680615425,13.15807343,5,5
8.674895287,12.3204937,5,5
8.669119835,11.47527218,5,5
8.663302422,10.6224556,5,5
8.657454491,9.762093544,5,5
8.651584625,8.894230843,5,5
8.645697594,8.018913269,5,5
8.639801025,7.136188984,5,5
8.633895874,6.246099949,5,5
8.627985954,5.348689079,5,5
8.622074127,4.443995476,5,5
8.616163254,3.532240629,5,5
8.610260963,2.614395142,5,5
8.604376793,1.691740036,5,5
8.598519325,0.7658141255,5,5
8.602050781,-0.160899803,5,5
8.606637955,-1.086858153,5,5
8.609571457,-2.011978626,5,5
8.613481522,-2.938023806,5,5
8.619117737,-3.867313147,5,5
8.626521111,-4.800625324,5,5
8.635498047,-5.738309383,5,5
8.636288643,-6.679893494,5,5
8.637009621,-7.625897884,5,5
8.640250206,-8.57715416,5,5
8.643166542,-9.533851624,5,5
8.644835472,-10.49614239,5,5
8.645086288,-11.46416092,5,5
8.644022942,-12.43802547,5,5
8.641827583,-13.41784191,5,5
8.638689995,-14.40352154,5,5
8.634784698,-15.39422226,5,5
8.630264282,-16.38879204,5,5
8.625258446,-17.38638306,5,5
8.619858742,-18.3884201,5,5
8.614145279,-19.395504,5,5
8.60819149,-20.40686226,5,5
8.602057457,-21.42140007,5,5
8.595791817,-22.4383297,5,5
8.589417458,-23.4591465,5,5
8.592432976,-24.48386955,5,5
8.596849442,-25.51302719,5,5
8.599805832,-26.54738998,5,5
8.603948593,-27.58708954,5,5
8.61013031,-28.63223648,5,5
8.618471146,-29.68276596,5,5
8.628810883,-30.73789215,5,5
8.64089489,-31.79652214,5,5
8.654449463,-32.85732651,5,5
8.669212341,-33.91870117,5,5
8.684943199,-34.97907639,5,5
8.70144558,-36.03791046,5,5
8.718585968,-37.09683228,5,5
8.736270905,-38.15805435,5,5
8.754410744,-39.22237396,5,5
8.772932053,-40.29016495,5,5
8.791775703,-41.36177063,5,5
8.801401138,-42.43674088,5,5
8.809630394,-43.51558685,5,5
8.81937027,-44.59910202,5,5
8.827987671,-45.6875,5,5
8.834598541,-46.78092575,5,5
8.839058876,-47.87952423,5,5
8.841508865,-48.98343277,5,5
8.842191696,-50.09274292,5,5
8.841362953,-51.20757675,5,5
8.839266777,-52.32801056,5,5
8.836116791,-53.45412064,5,5
8.832102776,-54.58597946,5,5
8.827383041,-55.72365189,5,5
8.822094917,-56.86717606,5,5
8.816349983,-58.01659012,5,5
8.81024456,-59.17193604,5,5
8.803855896,-60.33324432,5,5
8.797249794,-61.50053406,5,5
8.790478706,-62.67383194,5,5
8.783587456,-63.85314941,5,5
8.776608467,-65.03849792,5,5
8.769572258,-66.22988129,5,5
8.762500763,-67.42732239,5,5
8.755411148,-68.6308136,5,5
8.748318672,-69.84035492,5,5
8.741232872,-71.05595398,5,5
8.734165192,-72.27759552,5,5
8.727120399,-73.50528717,5,5
8.720105171,-74.7390213,5,5
8.713122368,-75.97879028,5,5
8.706175804,-77.22458649,5,5
8.699269295,-78.47640228,5,5
8.692403793,-79.73422241,5,5
8.685582161,-80.99804688,5,5
8.67880249,-82.26786041,5,5
8.672068596,-83.54364777,5,5
8.665381432,-84.82538605,5,5
8.658742905,-86.11308289,5,5
8.652152061,-87.40657806,5,5
8.645616531,-88.7051239,5,5
8.639141083,-90.00772095,5,5
8.632728577,-91.31355286,5,5
8.62637043,-92.62364197,5,5
8.620062828,-93.93855286,5,5
8.613803864,-95.25826263,5,5
8.607598305,-96.5820694,5,5
8.601449013,-97.90901947,5,5
8.595359802,-99.23838806,5,5
8.589321136,-100.5712509,5,5
8.583327293,-101.908287,5,5
8.577377319,-103.2494888,5,5
8.571475983,-104.5942154,5,5
8.565625191,-105.9415588,5,5
8.559831619,-107.2903671,5,5
8.554098129,-108.6393204,5,5
8.548428535,-109.9870071,5,5
8.542818069,-111.3329239,5,5
8.537254333,-112.6783295,5,5
8.531721115,-114.0249176,5,5
8.526218414,-115.3725662,5,5
8.520744324,-116.7205124,5,5
8.515304565,-118.0677719,5,5
8.509900093,-119.4131546,5,5
8.504533768,-120.7554245,5,5
8.499203682,-122.0939407,5,5
8.493904114,-123.428154,5,5
8.488633156,-124.7575912,5,5
8.483384132,-126.0818405,5,5
8.478154182,-127.4004974,5,5
8.47293663,-128.7131958,5,5
8.467727661,-130.0196686,5,5
8.462522507,-131.3196106,5,5
8.457314491,-132.6131134,5,5
8.45208931,-133.901947,5,5
8.446829796,-135.1885834,5,5
8.441530228,-136.4740753,5,5
8.436197281,-137.7582245,5,5
8.430836678,-139.0405426,5,5
8.425456047,-140.3202209,5,5
8.420063019,-141.5962372,5,5
8.414664268,-142.867569,5,5
8.409262657,-144.1340332,5,5
8.403844833,-145.3973694,5,5
8.398404121,-146.6590729,5,5
8.392944336,-147.9187927,5,5
8.387468338,-149.1762543,5,5
8.381968498,-150.4333344,5,5
8.376443863,-151.6911163,5,5
8.3708992,-152.9492645,5,5
8.365343094,-154.2070313,5,5
8.359786034,-155.4635315,5,5
8.354232788,-156.7175598,5,5
8.348694801,-157.9679413,5,5
8.352554321,-159.2135468,5,5
8.358440399,-160.454361,5,5
8.363325119,-161.6925201,5,5
8.369758606,-162.9303131,5,5
8.378680229,-164.1686096,5,5
8.390286446,-165.4070129,5,5
8.40445137,-166.6453247,5,5
8.420942307,-167.8849182,5,5
8.439479828,-169.1254883,5,5
8.459774017,-170.3662872,5,5
8.481545448,-171.606369,5,5
8.504535675,-172.8444672,5,5
8.528503418,-174.0793457,5,5
8.553250313,-175.3103638,5,5
8.578604698,-176.5370026,5,5
8.604422569,-177.7587891,5,5
8.630581856,-178.9753113,5,5
8.656980515,-180.186203,5,5
8.683531761,-181.3911285,5,5
8.710163116,-182.5898438,5,5
8.736815453,-183.7820282,5,5
8.763440132,-184.9674988,5,5
8.789993286,-186.1460114,5,5
8.81644249,-187.3173981,5,5
8.842759132,-188.4814758,5,5
8.868918419,-189.6381531,5,5
8.894903183,-190.7872772,5,5
8.92069912,-191.9287872,5,5
8.936923981,-193.062149,5,5
8.951263428,-194.1873627,5,5
8.966732025,-195.3047028,5,5
8.980782509,-196.4141693,5,5
8.992531776,-197.5160675,5,5
9.001802444,-198.6126556,5,5
9.008729935,-199.7068329,5,5
9.013593674,-200.799881,5,5
9.016705513,-201.8916321,5,5
9.018362045,-202.9815979,5,5
9.018829346,-204.068924,5,5
9.027780533,-205.1520233,5,5
9.037525177,-206.2299194,5,5
9.045259476,-207.3025513,5,5
9.053673744,-208.3696289,5,5
9.063696861,-209.4308167,5,5
9.075504303,-210.4858398,5,5
9.088977814,-211.5344543,5,5
9.103890419,-212.5764923,5,5
9.120005608,-213.6117859,5,5
9.137093544,-214.6402283,5,5
9.154953003,-215.6616516,5,5
9.173409462,-216.6759949,5,5
9.192315102,-217.6831665,5,5
9.211544991,-218.6831055,5,5
9.240292549,-219.6749878,5,5
9.270350456,-220.6591492,5,5
9.298818588,-221.6360474,5,5
9.328234673,-222.6055603,5,5
9.359337807,-223.5676575,5,5
9.401364326,-224.521347,5,5
9.457855225,-225.4657745,5,5
9.513998032,-226.4026489,5,5
9.569982529,-227.3322601,5,5
9.629329681,-228.2543488,5,5
9.692759514,-229.1688232,5,5
9.759943962,-230.0756989,5,5
9.830228806,-230.9750366,5,5
9.90293026,-231.8668823,5,5
9.977428436,-232.7513428,5,5
10.05319786,-233.6284637,5,5
10.12981033,-234.4983368,5,5
10.20692253,-235.3610077,5,5
10.29337883,-236.2150879,5,5
10.38040352,-237.0616302,5,5
10.46532536,-237.9013824,5,5
10.5506525,-238.7341003,5,5
10.63696957,-239.5597534,5,5
10.73326111,-240.3767853,5,5
10.83054256,-241.1863861,5,5
10.92612076,-241.9893646,5,5
11.02239609,-242.7854614,5,5
11.11981583,-243.574646,5,5
11.21818829,-244.3569641,5,5
11.32617378,-245.1306763,5,5
11.43463516,-245.8977356,5,5
11.54147816,-246.6619873,5,5
11.64952469,-247.4254761,5,5
11.76821709,-248.1856537,5,5
11.9002037,-248.9405365,5,5
12.03004456,-249.6924133,5,5
12.1584816,-250.4408417,5,5
12.28948212,-251.1877747,5,5
12.43303776,-251.9334869,5,5
12.59163189,-252.6768036,5,5
12.7681942,-253.4144287,5,5
12.94967842,-254.1503601,5,5
13.12896252,-254.8905487,5,5
13.32276726,-255.6306458,5,5
13.53506184,-256.3679504,5,5
13.76822758,-257.0986328,5,5
14.00923824,-257.8276367,5,5
14.25093269,-258.5613098,5,5
14.49140072,-259.300293,5,5
14.7401619,-260.0410156,5,5
14.9992075,-260.7843628,5,5
15.26471519,-261.5317078,5,5
15.53458786,-262.2828979,5,5
15.80747032,-263.0371094,5,5
16.08230019,-263.7930908,5,5
16.35810661,-264.5493164,5,5
16.63405418,-265.3041992,5,5
16.90967178,-266.0570374,5,5
17.18459511,-266.8071594,5,5
17.45852661,-267.5540466,5,5
17.73124123,-268.2973328,5,5
18.0025444,-269.0365601,5,5
18.27228928,-269.7714539,5,5
18.54035378,-270.50177,5,5
18.80664063,-271.2272949,5,5
19.07954597,-271.9440308,5,5
19.35053253,-272.6552429,5,5
19.61754799,-273.3619385,5,5
19.88308716,-274.0631409,5,5
20.15608406,-274.7546082,5,5
20.42790794,-275.4398193,5,5
20.70492935,-276.1159973,5,5
20.98073769,-276.7858887,5,5
21.25377846,-277.4505615,5,5
21.5264225,-278.1089478,5,5
21.80706787,-278.7567444,5,5
22.08678436,-279.3979797,5,5
22.36343002,-280.0341187,5,5
22.63913918,-280.6641541,5,5
22.91413307,-281.2879944,5,5
23.18811226,-281.9058228,5,5
23.46072197,-282.5177612,5,5
23.73166275,-283.1239624,5,5
24.00071144,-283.7246094,5,5
24.26771736,-284.3197937,5,5
24.53256798,-284.9095154,5,5
24.79520416,-285.4938965,5,5
25.05557823,-286.072998,5,5
25.31366348,-286.6468811,5,5
25.5696888,-287.2160339,5,5
25.82512856,-287.7839661,5,5
26.08160591,-288.354126,5,5
26.34774017,-288.9233704,5,5
26.61507225,-289.4967651,5,5
26.88252831,-290.0761414,5,5
27.16094208,-290.6560364,5,5
27.44227028,-291.2411194,5,5
27.72516251,-291.8330078,5,5
28.01210213,-292.4308472,5,5
28.30351448,-293.0346375,5,5
28.5991745,-293.6443481,5,5
28.90621567,-294.2543945,5,5
29.21585464,-294.8686523,5,5
29.52704811,-295.4900513,5,5
29.85010338,-296.1124268,5,5
30.18727875,-296.7326965,5,5
30.52496719,-297.3585815,5,5
30.87305832,-297.9858398,5,5
31.22666359,-298.6178284,5,5
31.59236526,-299.2505493,5,5
31.97448349,-299.8806152,5,5
32.36048126,-300.5169373,5,5
32.75125122,-301.1595154,5,5
33.14948273,-301.806366,5,5
33.56203079,-302.4506531,5,5
33.98992538,-303.0892029,5,5
34.4200592,-303.730957,5,5
34.85392761,-304.3774719,5,5
35.29467392,-305.0274658,5,5
35.74263763,-305.6808472,5,5
36.20423126,-306.331665,5,5
36.68071365,-306.9768982,5,5
37.1598053,-307.6262817,5,5
37.6428566,-308.2808838,5,5
38.13277817,-308.9388733,5,5
38.62986374,-309.5997925,5,5
39.13986588,-310.2567139,5,5
39.65532303,-310.9151306,5,5
40.1749382,-311.5783386,5,5
40.70058441,-312.2452393,5,5
41.23253632,-312.9157104,5,5
41.77047729,-313.5897522,5,5
42.32007217,-314.2603455,5,5
42.87425613,-314.9328918,5,5
43.43190765,-315.6106262,5,5
43.99503326,-316.2922058,5,5
44.57045364,-316.9704895,5,5
45.15986633,-317.6417847,5,5
45.75229263,-318.3164063,5,5
46.34898758,-318.9953613,5,5
46.95275879,-319.6764221,5,5
47.56414032,-320.3591309,5,5
48.1827774,-321.0436707,5,5
48.80761719,-321.7297058,5,5
49.4377327,-322.4172363,5,5
50.07344437,-323.1074524,5,5
50.71461487,-323.8009033,5,5
51.36102295,-324.4978943,5,5
52.01852798,-325.1914673,5,5
52.68071747,-325.8870544,5,5
53.34541321,-326.5866089,5,5
54.02115631,-327.2819214,5,5
54.71030807,-327.9686584,5,5
55.40299225,-328.6574402,5,5
56.10031509,-329.3491821,5,5
56.80426788,-330.0406494,5,5
57.51451111,-330.7306213,5,5
58.22979355,-331.4183044,5,5
58.95404816,-332.0958862,5,5
59.68040466,-332.7687683,5,5
60.4062767,-333.4391785,5,5
61.13803482,-334.0979309,5,5
61.87012863,-334.7504272,5,5
62.60045242,-335.3990479,5,5
63.32997513,-336.0418396,5,5
64.0585022,-336.6783142,5,5
64.79091644,-337.3011169,5,5
65.52147675,-337.9168701,5,5
66.24825287,-338.5281982,5,5
66.97237396,-339.1333923,5,5
67.69386292,-339.7320557,5,5
68.4176712,-340.316803,5,5
69.13832092,-340.8944702,5,5
69.85412598,-341.467804,5,5
70.5715332,-342.0273743,5,5
71.29232788,-342.569519,5,5
72.01754761,-343.0899658,5,5
72.74764252,-343.5852661,5,5
73.47519684,-344.0710754,5,5
74.2026825,-344.5445557,5,5
74.93510437,-344.9955139,5,5
75.66617584,-345.4356995,5,5
76.3960495,-345.8649902,5,5
77.12561035,-346.2811584,5,5
77.84992218,-346.6932983,5,5
78.56852722,-347.1069946,5,5
79.29148102,-347.5119324,5,5
80.01924896,-347.9112854,5,5
80.75012207,-348.3101807,5,5
81.48383331,-348.7106628,5,5
82.22064209,-349.1135864,5,5
82.96076202,-349.5191345,5,5
83.70362091,-349.9269104,5,5
84.44834137,-350.3363647,5,5
85.19377136,-350.7467651,5,5
85.93852997,-351.1571655,5,5
86.68523407,-351.5584412,5,5
87.42922974,-351.9577942,5,5
88.16924286,-352.3573303,5,5
88.90611267,-352.7545166,5,5
89.64358521,-353.1400452,5,5
90.377388,-353.5215149,5,5
91.10642242,-353.9014282,5,5
91.83157349,-354.2775574,5,5
92.55283356,-354.6493225,5,5
93.27354431,-355.0083618,5,5
93.98957825,-355.362915,5,5
94.70002747,-355.7156067,5,5
95.40584564,-356.064209,5,5
96.1071167,-356.4083862,5,5
96.80368805,-356.7482605,5,5
97.4987793,-357.0756836,5,5
98.19290161,-357.3877258,5,5
98.88035583,-357.6990662,5,5
99.56180573,-358.0089417,5,5
100.2386246,-358.3140869,5,5
100.9141159,-358.6052551,5,5
101.5845795,-358.8914795,5,5
102.2493668,-359.1753845,5,5
102.9093018,-359.4550171,5,5
103.5644608,-359.7301941,5,5
104.2175674,-359.9925842,5,5
104.8688583,-360.2398376,5,5
105.5134354,-360.4871826,5,5
106.1520386,-360.7336121,5,5
106.7858658,-360.9758606,5,5
107.4150696,-361.213501,5,5
108.0419998,-361.4382324,5,5
108.6633835,-361.6596375,5,5
109.2788925,-361.8802185,5,5
109.8893509,-362.0976868,5,5
110.4948425,-362.3117981,5,5
111.0952835,-362.5228577,5,5
111.6905899,-362.7311707,5,5
112.2812653,-362.9372253,5,5
112.8706894,-363.1424255,5,5
113.462265,-363.3479919,5,5
114.0581741,-363.5452576,5,5
114.6546783,-363.7433472,5,5
115.2505264,-363.943634,5,5
115.8459854,-364.14328,5,5
116.4461823,-364.3338318,5,5
117.0532455,-364.5134583,5,5
117.6661072,-364.6780701,5,5
118.2819519,-364.8414307,5,5
118.9020844,-365.0116577,5,5
119.5289917,-365.1809998,5,5
120.1621094,-365.3476563,5,5
120.8013153,-365.5027161,5,5
121.443718,-365.656311,5,5
122.0914001,-365.811676,5,5
122.7459183,-365.9667358,5,5
123.4075165,-366.121521,5,5
124.076355,-366.2763977,5,5
124.7524948,-366.4317932,5,5
125.4360352,-366.5880432,5,5
126.1270218,-366.7454224,5,5
126.8254929,-366.9040527,5,5
127.5325928,-367.0548401,5,5
128.2467499,-367.2068787,5,5
128.9681854,-367.3625793,5,5
129.6974335,-367.5192566,5,5
130.4346313,-367.6763306,5,5
131.1806946,-367.8245544,5,5
131.9353027,-367.9606934,5,5
132.6962891,-368.1000366,5,5
133.4647064,-368.2418518,5,5
134.2412109,-368.3825684,5,5
135.0262299,-368.512146,5,5
135.8185272,-368.6272278,5,5
136.6156311,-368.743103,5,5
137.4170837,-368.859314,5,5
138.2247925,-368.9727173,5,5
139.0393677,-369.0829163,5,5
139.8599701,-369.1809692,5,5
140.6849213,-369.2638245,5,5
141.5129547,-369.3468933,5,5
142.3461914,-369.4301453,5,5
143.1857452,-369.5102539,5,5
144.0317841,-369.5866699,5,5
144.8843994,-369.6599121,5,5
145.7436523,-369.7306519,5,5
146.6095886,-369.7994385,5,5
147.4822388,-369.8668213,5,5
148.3616638,-369.9333496,5,5
149.2478638,-369.9992371,5,5
150.1408539,-370.0647888,5,5
151.0402069,-370.1207581,5,5
151.9444733,-370.1632996,5,5
152.853363,-370.2073669,5,5
153.7684326,-370.2523804,5,5
154.6900635,-370.2946472,5,5
155.6183014,-370.333313,5,5
156.5531769,-370.3684998,5,5
157.4946899,-370.4007263,5,5
